PlayerName,DUPR,Dink_Pct,Hard_Hit_Pct,Error_Rate,TotalShots,Playstyle_Cluster,PCA1,PCA2
Patricio Solari,4.351,0.19047619047619047,0.8095238095238095,0.009523809523809525,105.0,0,0.49261882644295757,-1.03929491155136
Patrick Smith,6.079,0.3188946975354743,0.6811053024645257,0.06758775205377147,181.0,0,1.5981732238031408,1.3823953277146468
Patrick Swope,4.388,0.08664196066989846,0.9133580393301015,0.040882831085087494,321.0,2,-1.1888851291382432,-0.4305467575552323
Patrick Unknown,4.11,0.11764705882352941,0.8823529411764706,0.17647058823529413,51.0,1,-2.1446729310345796,4.139046950282562
Paul Higgs,3.704,0.02399044769645226,0.9760095523035477,0.051403911993288434,849.0,2,-2.118982761387021,-0.3385945067080174
Paul Kind,3.93,0.15135135135135136,0.8486486486486486,0.04466966966966967,238.0,2,-0.37561844740775113,-0.04519246974147101
Paul Levy,4.488,0.2391304347826087,0.7608695652173914,0.08695652173913043,46.0,1,0.35394256307279903,1.6952833221892294
Paul Olin,5.519,0.3012796080457198,0.6987203919542803,0.025442619247157894,828.0,0,1.7903044994275497,-0.07018978308466291
Paul Pickles Smith,5.172,0.36538461538461536,0.6346153846153846,0.019230769230769232,104.0,0,2.69618394130448,-0.01502220077999733
Paul Redmond,4.11,0.07692307692307693,0.9230769230769231,0.03999049262699978,65.0,2,-1.307777403734675,-0.4990309019905466
Payton Noyes,5.257,0.13212063716189384,0.8678793628381062,0.017798959925036648,435.0,2,-0.35836967994055646,-1.0036196098854042
Perry Wang,5.232,0.18333333333333332,0.8166666666666667,0.03333333333333333,60.0,2,0.15917292128481353,-0.28767790112947894
Pesa Teoni,6.11,0.1383939379729145,0.8616060620270856,0.06692358643717793,33.065781833704165,2,-0.7699180659298173,0.6319605180765111
Peter Cote,4.019,0.15629262196653196,0.8437073780334682,0.04648161693861924,552.0,2,-0.3288323870404809,0.034148755723026385
